dia_setmana,hora,Grup_Vehicle,count
4,01,Transport Comercial,292
4,01,Transport públic,9
4,01,Vehicle Turisme,5288
4,01,Vehicles especials,3
4,01,Vianants,91
4,02,Bicicletes,275
4,02,Equips emergencia,4
4,02,Motocicleta,805
4,02,Taxis,28
4,02,Transport Comercial,176
4,02,Transport públic,13
4,02,Vehicle Turisme,3234
4,02,Vianants,40
4,03,Bicicletes,188
4,03,Equips emergencia,8
4,03,Motocicleta,648
4,03,Taxis,33
4,03,Transport Comercial,179
4,03,Transport públic,11
4,03,Vehicle Turisme,2433
4,03,Vehicles especials,2
4,03,Vianants,40
4,04,Bicicletes,234
4,04,Equips emergencia,5
4,04,Habitatge,1
4,04,Motocicleta,780
4,04,Taxis,35
4,04,Transport Comercial,235
4,04,Transport públic,7
4,04,Vehicle Turisme,3159
4,04,Vehicles especials,4
4,04,Vianants,64
4,05,Bicicletes,136
4,05,Equips emergencia,3
4,05,Motocicleta,617
4,05,Taxis,19
4,05,Transport Comercial,352
4,05,Transport públic,11
4,05,Vehicle Turisme,3437
4,05,Vianants,68
4,06,Bicicletes,26
4,06,Equips emergencia,4
4,06,Motocicleta,462
4,06,Taxis,4
4,06,Transport Comercial,379
4,06,Transport públic,15
4,06,Vehicle Turisme,1901
4,06,Vehicles especials,1
4,06,Vianants,72
4,07,Bicicletes,125
4,07,Equips emergencia,6
4,07,Habitatge,14
4,07,Motocicleta,1578
4,07,Taxis,20
4,07,Transport Comercial,929
4,07,Transport públic,37
4,07,Vehicle Turisme,5238
4,07,Vehicles especials,12
4,07,Vianants,475
4,08,Bicicletes,342
4,08,Equips emergencia,3
4,08,Habitatge,10
4,08,Motocicleta,3436
4,08,Taxis,80
4,08,Transport Comercial,3263
4,08,Transport públic,86
4,08,Vehicle Turisme,10241
4,08,Vehicles especials,17
4,08,Vianants,885
4,09,Bicicletes,352
4,09,Equips emergencia,14
4,09,Habitatge,13
4,09,Motocicleta,2855
4,09,Taxis,169
4,09,Transport Comercial,9099
4,09,Transport públic,170
4,09,Vehicle Turisme,21529
4,09,Vehicles especials,37
4,09,Vianants,1291
4,10,Bicicletes,197
4,10,Equips emergencia,5
4,10,Habitatge,16
4,10,Motocicleta,2636
4,10,Taxis,187
4,10,Transport Comercial,9641
4,10,Transport públic,168
4,10,Vehicle Turisme,24170
4,10,Vehicles especials,30
4,10,Vianants,1264
4,11,Bicicletes,262
4,11,Equips emergencia,8
4,11,Habitatge,30
4,11,Motocicleta,2298
4,11,Taxis,115
4,11,Transport Comercial,5305
4,11,Transport públic,273
4,11,Vehicle Turisme,16716
4,11,Vehicles especials,25
4,11,Vianants,1177
